0103601008;Laudio/Llodio;sección;01008;;;;;;;;;;;;;;
0103601009;Laudio/Llodio;sección;01009;;;;;;;;;;;;;;
0103601010;Laudio/Llodio;sección;01010;;;;;;;;;;;;;;
0103601011;Laudio/Llodio;sección;01011;;;;;;;;;;;;;;
0103601012;Laudio/Llodio;sección;01012;;;;;;;;;;;;;;
0103601013;Laudio/Llodio;sección;01013;;;;;;;;;;;;;;
01037;Arraia-Maeztu;14.052;15.193;31.356;33.591;;;;;;
0103701;Arraia-Maeztu;distrito;01;;;;;;;;;;;;;;
0103701001;Arraia-Maeztu;sección;01001;;;;;;;;;;;;;;
01039;Moreda;de;Álava/Moreda;Araba;12.687;12.668;27.790;28.165;;;;;;
0103901;Moreda;de;Álava/Moreda;Araba;distrito;01;;;;;;;;;;;;;;
0103901001;Moreda;de;Álava/Moreda;Araba;sección;01001;;;;;;;;;;;;;;
01041;Navaridas;11.017;11.651;26.853;27.380;;;;;;
0104101;Navaridas;distrito;01;;;;;;;;;;;;;;
0104101001;Navaridas;sección;01001;;;;;;;;;;;;;;
01042;Okondo;12.274;11.915;31.048;30.692;;;;;;
0104201;Okondo;distrito;01;;;;;;;;;;;;;;
0104201001;Okondo;sección;01001;;;;;;;;;;;;;;
01043;Oyón-Oion;11.169;10.718;28.289;27.423;;;;;;
0104301;Oyón-Oion;distrito;01;;;;;;;;;;;;;;
0104301001;Oyón-Oion;sección;01001;;;;;;;;;;;;;;
0104301002;Oyón-Oion;sección;01002;;;;;;;;;;;;;;
01044;Peñacerrada-Urizaharra;18.025;16.953;34.235;32.808;;;;;;
0104401;Peñacerrada-Urizaharra;distrito;01;;;;;;;;;;;;;;
0104401001;Peñacerrada-Urizaharra;sección;01001;;;;;;;;;;;;;;
01046;Erriberagoitia/Ribera;Alta;15.458;14.751;34.865;33.964;;;;;;
0104601;Erriberagoitia/Ribera;Alta;distrito;01;;;;;;;;;;;;;;
0104601001;Erriberagoitia/Ribera;Alta;sección;01001;;;;;;;;;;;;;;
01047;Erriberabeitia;12.480;13.316;34.032;35.804;;;;;;
0104701;Ribera;Baja/Erribera;Beitia;distrito;01;;;;;;;;;;;;;;
0104701001;Erriberabeitia;sección;01001;;;;;;;;;;;;;;
01049;Añana;15.548;13.922;29.580;26.353;;;;;;
0104901;Añana;distrito;01;;;;;;;;;;;;;;
0104901001;Añana;sección;01001;;;;;;;;;;;;;;
01051;Agurain/Salvatierra;12.374;12.083;30.235;29.511;;;;;;
0105101;Agurain/Salvatierra;distrito;01;;;;;;;;;;;;;;
0105101001;Agurain/Salvatierra;sección;01001;;;;;;;;;;;;;;
0105101002;Agurain/Salvatierra;sección;01002;;;;;;;;;;;;;;
0105101003;Agurain/Salvatierra;sección;01003;;;;;;;;;;;;;;
01052;Samaniego;13.334;13.483;31.220;31.424;;;;;;
0105201;Samaniego;distrito;01;;;;;;;;;;;;;;
0105201001;Samaniego;sección;01001;;;;;;;;;;;;;;
01053;San;Millán/Donemiliaga;14.467;14.221;35.864;35.778;;;;;;
0105301;San;Millán/Donemiliaga;distrito;01;;;;;;;;;;;;;;
0105301001;San;Millán/Donemiliaga;sección;01001;;;;;;;;;;;;;;
01054;Urkabustaiz;13.821;13.480;34.869;34.831;;;;;;
0105401;Urkabustaiz;distrito;01;;;;;;;;;;;;;;
0105401001;Urkabustaiz;sección;01001;;;;;;;;;;;;;;
01055;Valdegovía/Gaubea;14.325;13.667;29.030;28.005;;;;;;
0105501;Valdegovía/Gaubea;distrito;01;;;;;;;;;;;;;;
0105501001;Valdegovía/Gaubea;sección;01001;;;;;;;;;;;;;;
01056;Harana/Valle;de;Arana;13.325;13.175;26.199;26.917;;;;;;
0105601;Harana/Valle;de;Arana;distrito;01;;;;;;;;;;;;;;
0105601001;Harana/Valle;de;Arana;sección;01001;;;;;;;;;;;;;;
01057;Villabuena;de;Álava/Eskuernaga;11.623;12.178;27.547;27.781;;;;;;
0105701;Villabuena;de;Álava/Eskuernaga;distrito;01;;;;;;;;;;;;;;
0105701001;Villabuena;de;Álava/Eskuernaga;sección;01001;;;;;;;;;;;;;;
01058;Legutio;14.794;14.132;35.673;34.357;;;;;;
0105801;Legutio;distrito;01;;;;;;;;;;;;;;
0105801001;Legutio;sección;01001;;;;;;;;;;;;;;
01059;Vitoria-Gasteiz;14.226;14.025;33.264;32.848;;;;;;
0105901;Vitoria-Gasteiz;distrito;01;;;;;;;;;;;;;;
0105901001;Vitoria-Gasteiz;sección;01001;;;;;;;;;;;;;;
0105901003;Vitoria-Gasteiz;sección;01003;;;;;;;;;;;;;;
0105901004;Vitoria-Gasteiz;sección;01004;;;;;;;;;;;;;;
0105901005;Vitoria-Gasteiz;sección;01005;;;;;;;;;;;;;;
0105901007;Vitoria-Gasteiz;sección;01007;;;;;;;;;;;;;;
