SeccionCensal;F-of-M
0820505007;11,00Ê%
4103805014;11,05Ê%
0301405024;11,07Ê%
2805807014;11,11Ê%
2007104001;11,13Ê%
1808709010;11,14Ê%
1932601001;11,16Ê%
1503009005;11,16Ê%
0200307017;11,18Ê%
0306504019;11,18Ê%
4619001036;11,21Ê%
2807405019;11,22Ê%
1102703015;11,23Ê%
1503009004;11,23Ê%
1102804008;11,25Ê%
2801501009;11,26Ê%
2814802001;11,27Ê%
0306507010;11,29Ê%
2800601066;11,30Ê%
4802901007;11,31Ê%
2408906018;11,31Ê%
4619001012;11,31Ê%
0827906033;11,32Ê%
3002701052;11,32Ê%
4508102007;11,33Ê%
4109107034;11,35Ê%
4619001048;11,35Ê%
4217302014;11,38Ê%
3603901002;11,43Ê%
2812301036;11,45Ê%
4109109017;11,45Ê%
4609401019;11,47Ê%
1305601005;11,47Ê%
2814802024;11,52Ê%
1212601007;11,52Ê%
2807918051;11,53Ê%
0306502022;11,57Ê%
2804901024;11,58Ê%
3605709018;11,58Ê%
2810601056;11,59Ê%
2810601064;11,59Ê%
2810601065;11,63Ê%
2812701049;11,64Ê%
1102305004;11,64Ê%
1707902022;11,65Ê%
2813401052;11,65Ê%
2807902103;11,65Ê%
0501905006;11,66Ê%
0312203011;11,66Ê%
1208402001;11,66Ê%
1890501010;11,69Ê%
0105903039;11,70Ê%
4623001008;11,71Ê%
2616801001;11,71Ê%
2908001005;11,72Ê%
4718611042;11,72Ê%
3003004073;11,72Ê%
3304406011;11,73Ê%
1913002016;11,73Ê%
4805403001;11,74Ê%
4624401013;11,76Ê%
2810401008;11,78Ê%
4516501008;11,78Ê%
2807920121;11,78Ê%
2807908161;11,79Ê%
0818704024;11,79Ê%
1503009003;11,82Ê%
2100202005;11,83Ê%
2816102012;11,83Ê%
4101901004;11,84Ê%
4619001044;11,86Ê%
2807301007;11,87Ê%
1300503005;11,88Ê%
2807918059;11,91Ê%
3120107009;11,91Ê%
4701001001;11,92Ê%
2305004015;11,92Ê%
3501605034;11,93Ê%
1303401011;11,94Ê%
4802008016;11,94Ê%
0704801007;11,97Ê%
4007201001;11,99Ê%
3902801003;12,01Ê%
0827902014;12,01Ê%
3907508028;12,05Ê%
1213502016;12,05Ê%
2909401012;12,06Ê%
1922001001;12,07Ê%
0921903014;12,09Ê%
4105301006;12,10Ê%
2810601062;12,12Ê%
2807913216;12,13Ê%
1405604006;12,17Ê%
4103805026;12,20Ê%
3123204006;12,20Ê%
0801910042;12,20Ê%
0601503003;12,24Ê%
0306501019;12,24Ê%
3004103002;12,25Ê%
0704801003;12,25Ê%
5018201002;12,26Ê%
0818707007;12,29Ê%
3003003046;12,31Ê%
3601701007;12,32Ê%
1904601015;12,32Ê%
1103106007;12,33Ê%
1913002008;12,34Ê%
4619401012;12,35Ê%
3120105008;12,35Ê%
4010101001;12,35Ê%
2608401005;12,37Ê%
2816102009;12,38Ê%
3003004020;12,39Ê%
0818704026;12,41Ê%
1204004021;12,42Ê%
2812701032;12,44Ê%
0826601037;12,45Ê%
4619401014;12,46Ê%
0601502005;12,47Ê%
3108601010;12,47Ê%
3720701001;12,47Ê%
1003701014;12,49Ê%
2811601001;12,51Ê%
2903801003;12,51Ê%
4600703001;12,53Ê%
1808703045;12,54Ê%
2411502016;12,55Ê%
4100502002;12,56Ê%
1808703041;12,56Ê%
1102207003;12,57Ê%
0820501018;12,61Ê%
4106904007;12,63Ê%
5008901006;12,63Ê%
0601102007;12,64Ê%
1928601001;12,64Ê%
0604402004;12,65Ê%
3605001001;12,67Ê%
0702604021;12,68Ê%
2807918052;12,68Ê%
2906707091;12,68Ê%
5029708006;12,70Ê%
1503009006;12,70Ê%
3001801007;12,70Ê%
3304408010;12,71Ê%
0704004039;12,73Ê%
4619001046;12,75Ê%
3801101006;12,75Ê%
2810601058;12,75Ê%
3090101012;12,76Ê%
4105302004;12,76Ê%
0306501020;12,76Ê%
1806201001;12,76Ê%
4602903002;12,78Ê%
0313903006;12,78Ê%
1200903003;12,78Ê%
0820501017;12,78Ê%
0810103004;12,79Ê%
3302406023;12,79Ê%
4312307002;12,80Ê%
0105903037;12,81Ê%
2801301008;12,83Ê%
1500501010;12,83Ê%
4100404030;12,84Ê%
3500201019;12,85Ê%
2807908172;12,85Ê%
0825201028;12,86Ê%
4108102009;12,87Ê%
2810601053;12,88Ê%
2812301039;12,90Ê%
2810601049;12,90Ê%
2105003002;12,91Ê%
2807403022;12,92Ê%
3727403018;12,92Ê%
3003006035;12,93Ê%
2812301034;12,94Ê%
2811301012;12,94Ê%
3002401019;12,94Ê%
4705201001;12,95Ê%
2806503038;12,96Ê%
4625016029;12,96Ê%
3501605031;12,98Ê%
1003701010;12,98Ê%
2810601051;12,99Ê%
2801401022;13,00Ê%
1891101005;13,01Ê%
2900701014;13,01Ê%
0300908002;13,01Ê%
3003004062;13,01Ê%
2807916107;13,04Ê%
4620701003;13,04Ê%
1507805023;13,05Ê%
1204008010;13,06Ê%
1891101006;13,06Ê%
4603103003;13,07Ê%
4007701001;13,07Ê%
3604901004;13,09Ê%
2817201005;13,09Ê%
0301403038;13,10Ê%
3002201018;13,10Ê%
1403802007;13,10Ê%
0704003055;13,11Ê%
2807406010;13,11Ê%
3905201005;13,11Ê%
4103903007;13,11Ê%
3002201023;13,11Ê%
1200502004;13,11Ê%
1902401001;13,13Ê%
1607804024;13,13Ê%
4625016031;13,15Ê%
0808902010;13,15Ê%
0312101004;13,16Ê%
4109110024;13,17Ê%
0827905029;13,17Ê%
0702604024;13,17Ê%
4108102017;13,19Ê%
3412005014;13,19Ê%
2807910220;13,19Ê%
0704801006;13,19Ê%
4103401010;13,19Ê%
1208402007;13,20Ê%
2807908160;13,21Ê%
4101001001;13,21Ê%
4110203006;13,22Ê%
4104502002;13,23Ê%
1402106019;13,24Ê%
1103801013;13,24Ê%
0601507001;13,25Ê%
4100702002;13,26Ê%
0827906032;13,26Ê%
2807902098;13,29Ê%
1402106047;13,29Ê%
1003704004;13,29Ê%
4310901002;13,30Ê%
2608904033;13,31Ê%
2990101034;13,31Ê%
2807902104;13,31Ê%
3001901020;13,32Ê%
1904601009;13,32Ê%
2807403014;13,33Ê%
4108102018;13,33Ê%
0306506009;13,33Ê%
4103805024;13,34Ê%
0401308008;13,35Ê%
3003001044;13,35Ê%
4103804021;13,35Ê%
4105901026;13,35Ê%
0905801001;13,35Ê%
4105901011;13,36Ê%
3605709016;13,37Ê%
0301404022;13,38Ê%
3108601008;13,38Ê%
0490201003;13,40Ê%
3000501007;13,41Ê%
4503801001;13,41Ê%
2810401006;13,42Ê%
4612601003;13,42Ê%
2808401009;13,42Ê%
2104107020;13,44Ê%
0905903011;13,45Ê%
3120107023;13,46Ê%
3004103003;13,48Ê%
3304412013;13,48Ê%
3905201007;13,48Ê%
2810801002;13,50Ê%
