CUSEC;COD_POSTAL;yieldPisos;yieldCasas
0806701004;08540;=;=
0806801001;08758;=;+
0806801002;08758;=;+
0806801003;08758;=;+
0806801004;08758;=;+
0806801005;08758;=;+
0806901001;08293;++;=
0806901003;08293;++;=
0807001001;08178;++;++
0807101001;08289;+;+
0807201001;08757;=;=
0807201002;08757;=;=
0807201003;08757;=;=
0807201004;08757;=;=
0807201005;08757;=;=
0807201006;08757;=;=
0807201007;08757;=;=
0807201008;08757;=;=
0807201009;08757;=;=
0807201010;08757;=;=
0807201011;08757;=;=
0807301001;08940;++;++
0807301002;08940;++;++
0807301003;08940;++;++
0807301004;08940;++;++
0807301005;08940;++;++
0807301006;08940;++;++
0807301007;08940;++;++
0807301008;08940;++;++
0807301009;08940;++;++
0807301010;08940;++;++
0807301011;08940;++;++
0807301012;08940;++;++
0807301013;08940;++;++
0807301014;08940;++;++
0807302001;08940;++;++
0807302002;08940;++;++
0807303001;08940;++;++
0807303002;08940;++;++
0807303003;08940;++;++
0807303004;08940;++;++
0807303005;08940;++;++
0807303006;08940;++;++
0807303007;08940;++;++
0807303008;08940;++;++
0807303009;08940;++;++
0807304001;08940;++;++
0807304002;08940;++;++
0807304003;08940;++;++
0807304004;08940;++;++
0807304005;08940;++;++
0807304006;08940;++;++
0807304007;08940;++;++
0807304008;08940;++;++
0807304009;08940;++;++
0807304010;08940;++;++
0807304011;08940;++;++
0807304012;08940;++;++
0807304013;08940;++;++
0807304014;08940;++;++
0807304015;08940;++;++
0807304016;08940;++;++
0807304017;08940;++;++
0807304018;08940;++;++
0807304019;08940;++;++
0807305001;08940;++;++
0807305002;08940;++;++
0807305003;08940;++;++
0807305004;08940;++;++
0807305005;08940;++;++
0807305006;08940;++;++
0807305007;08940;++;++
0807305008;08940;++;++
0807305009;08940;++;++
0807305010;08940;++;++
0807306001;08940;++;++
0807306002;08940;++;++
0807306003;08940;++;++
0807306004;08940;++;++
0807306005;08940;++;++
0807306006;08940;++;++
0807306007;08940;++;++
0807306008;08940;++;++
0807306009;08940;++;++
0807306010;08940;++;++
0807306011;08940;++;++
0807306012;08940;++;++
0807306013;08940;++;++
0807306014;08940;++;++
0807306015;08940;++;++
0807306016;08940;++;++
0807401001;08880;+;=
0807401002;08880;+;=
0807401003;08880;+;=
0807401004;08880;+;=
0807401005;08880;+;=
0807401006;08880;+;=
0807401007;08880;+;=
0807401008;08880;+;=
0807401009;08880;+;=
0807401010;08880;+;=
0807501001;08318;=;-
0807501002;08318;=;-
0807501003;08318;=;-
0807601001;08292;=;+
0807601002;08292;=;+
0807601003;08292;=;+
0807601004;08292;=;+
0807601005;08292;=;+
0807601006;08292;=;+
0807602001;08292;=;+
0807602002;08292;=;+
0807602003;08292;=;+
0807602004;08292;=;+
0807602005;08292;=;+
0807701001;08950;--;+
0807701002;08950;--;+
0807701003;08950;--;+
0807701004;08950;--;+
0807701005;08950;--;+
0807702001;08950;--;+
0807702002;08950;--;+
0807702003;08950;--;+
0807702004;08950;--;+
0807702005;08950;--;+
0807702006;08950;--;+
0807703001;08950;--;+
0807703002;08950;--;+
0807704001;08950;--;+
0807705001;08950;--;+
0807706001;08950;--;+
0807707001;08950;--;+
0807708001;08950;--;+
0807708002;08950;--;+
0807709001;08950;--;+
0807709002;08950;--;+
0807710001;08950;--;+
0807710002;08950;--;+
0807710003;08950;--;+
0807710004;08950;--;+
0807710005;08950;--;+
0807710006;08950;--;+
0807710007;08950;--;+
0807710008;08950;--;+
0807801001;08614;-;=
0807901001;08148;++;--
0808001001;08698;-;++
0808101001;08479;++;+
0808201001;08495;++;+
0808301001;08519;+;=
0808401001;08259;++;-
0808501001;08736;++;++
0808601001;08520;=;+
0808601002;08520;=;+
0808601003;08520;=;+
0808601004;08520;=;+
0808601005;08520;=;+
0808601006;08520;=;+
0808601007;08520;=;+
0808602001;08520;=;+
0808701001;08146;++;--
0808801001;08530;+;++
0808801002;08530;+;++
0808801003;08530;+;++
0808802001;08530;+;++
0808802002;08530;+;++
0808802003;08530;+;++
0808802004;08530;+;++
0808901001;08850;++;=
0808901002;08850;++;=
0808901003;08850;++;=
0808901004;08850;++;=
0808901005;08850;++;=
0808901006;08850;++;=
0808901007;08850;++;=
0808901008;08850;++;=
0808902001;08850;++;=
0808902002;08850;++;=
0808902003;08850;++;=
0808902004;08850;++;=
0808902005;08850;++;=
0808902006;08850;++;=
0808902007;08850;++;=
0808902008;08850;++;=
0808902009;08850;++;=
0808902010;08850;++;=
0808903001;08850;++;=
0808903002;08850;++;=
0808903003;08850;++;=
0808903004;08850;++;=
0808903005;08850;++;=
0808903006;08850;++;=
0808903007;08850;++;=
0808903008;08850;++;=
0808904001;08850;++;=
0808904002;08850;++;=
0809001001;08672;-;++
0809101001;08757;=;=
0809101002;08757;=;=
0809102001;08790;-;=
0809201001;08680;++;=
0809202001;08680;++;=
0809202002;08680;++;=
0809202003;08680;++;=
0809301001;08695;+;++
0809401001;08792;+;++
0809501001;08183;++;++
0809601001;08401;++;+
0809601003;08401;++;+
0809601004;08401;++;+
0809601005;08401;++;+
0809601006;08401;++;+
0809601009;08401;++;+
0809601010;08401;++;+
0809601011;08401;++;+
0809602001;08402;++;+
0809602002;08402;++;+
0809602003;08402;++;+
0809602004;08402;++;+
0809602005;08402;++;+
0809602006;08402;++;+
0809602007;08402;++;+
0809603001;08402;++;+
0809603002;08402;++;+
0809603003;08402;++;+
0809603004;08402;++;+
0809603005;08402;++;+
0809603006;08402;++;+
0809603007;08402;++;+
0809603008;08402;++;+
0809603009;08402;++;+
0809603010;08402;++;+
0809604001;08402;++;+
0809604002;08402;++;+
0809604003;08402;++;+
0809604004;08402;++;+
0809604006;08402;++;+
0809604007;08402;++;+
0809604008;08402;++;+
0809604009;08402;++;+
0809604010;08402;++;+
0809604011;08402;++;+
0809701001;08474;--;=
0809801001;08253;--;+
0809801002;08253;--;+
0809901001;08694;=;+
0810001001;08503;--;=
0810101001;08901;+;+
0810101002;08901;+;+
0810101003;08901;+;+
0810101004;08901;+;+
0810101005;08901;+;+
0810101006;08901;+;+
0810101007;08901;+;+
0810101008;08901;+;+
0810101009;08901;+;+
0810101010;08901;+;+
0810101011;08901;+;+
0810101012;08901;+;+
0810101013;08901;+;+
0810101014;08901;+;+
0810101015;08901;+;+
0810101016;08901;+;+
0810101017;08901;+;+
0810101018;08901;+;+
0810101019;08901;+;+
0810101020;08901;+;+
0810101021;08901;+;+
0810101022;08901;+;+
0810101023;08901;+;+
0810101024;08901;+;+
0810101025;08901;+;+
0810101026;08901;+;+
0810101027;08901;+;+
0810101028;08901;+;+
0810101029;08901;+;+
0810101030;08901;+;+
0810101031;08901;+;+
0810101032;08901;+;+
0810101033;08901;+;+
0810101034;08901;+;+
0810101035;08901;+;+
0810101036;08901;+;+
0810101037;08901;+;+
0810101038;08901;+;+
0810101039;08901;+;+
0810101040;08901;+;+
0810102001;08904;++;--
0810102002;08904;++;--
0810102004;08904;++;--
0810102005;08904;++;--
0810102007;08904;++;--
0810102008;08904;++;--
0810102009;08904;++;--
0810102010;08904;++;--
0810102011;08904;++;--
0810102012;08904;++;--
0810102013;08904;++;--
0810102014;08904;++;--
0810102016;08904;++;--
0810102017;08904;++;--
0810102020;08904;++;--
0810102021;08904;++;--
0810102023;08904;++;--
0810102024;08904;++;--
0810102026;08904;++;--
0810102028;08904;++;--
0810102029;08904;++;--
0810102031;08904;++;--
0810102032;08904;++;--
0810102033;08904;++;--
0810102034;08904;++;--
0810102036;08904;++;--
0810102037;08904;++;--
0810102038;08904;++;--
0810102039;08904;++;--
0810102040;08904;++;--
0810102042;08904;++;--
0810102043;08904;++;--
0810102045;08904;++;--
0810102046;08904;++;--
0810102047;08904;++;--
0810102048;08904;++;--
0810102049;08904;++;--
0810103001;08902;++;--
0810103002;08902;++;--
0810103003;08902;++;--
0810103004;08902;++;--
0810103005;08902;++;--
0810103006;08902;++;--
0810103007;08902;++;--
0810103008;08902;++;--
0810103009;08902;++;--
0810103010;08902;++;--
0810103011;08902;++;--
0810103012;08902;++;--
0810103013;08902;++;--
0810103014;08902;++;--
0810103015;08902;++;--
0810103016;08902;++;--
0810103017;08902;++;--
0810103018;08902;++;--
0810103019;08902;++;--
0810103020;08902;++;--
0810103021;08902;++;--
0810103022;08902;++;--
0810103023;08902;++;--
0810103024;08902;++;--
0810103025;08902;++;--
0810103026;08902;++;--
0810103027;08902;++;--
0810104001;08905;+;++
0810104002;08905;+;++
0810104003;08905;+;++
0810104004;08905;+;++
0810104005;08905;+;++
0810104006;08905;+;++
0810104007;08905;+;++
0810104009;08905;+;++
0810104010;08905;+;++
0810104011;08905;+;++
0810104012;08905;+;++
0810104014;08905;+;++
0810104016;08905;+;++
0810104018;08905;+;++
0810104019;08905;+;++
0810104020;08905;+;++
0810104021;08905;+;++
0810104022;08905;+;++
0810104023;08905;+;++
0810104025;08905;+;++
0810104026;08905;+;++
0810104027;08905;+;++
0810104030;08905;+;++
0810104031;08905;+;++
0810104032;08905;+;++
0810104033;08905;+;++
0810104035;08905;+;++
0810104036;08905;+;++
0810104037;08905;+;++
0810104040;08905;+;++
0810104041;08905;+;++
0810105001;08906;++;++
0810105002;08906;++;++
0810105003;08906;++;++
0810105004;08906;++;++
0810105005;08906;++;++
0810105006;08906;++;++
0810105007;08906;++;++
0810105008;08906;++;++
0810105010;08906;++;++
0810105011;08906;++;++
0810105013;08906;++;++
0810105014;08906;++;++
0810105017;08906;++;++
0810105018;08906;++;++
0810105020;08906;++;++
0810105021;08906;++;++
0810105023;08906;++;++
0810105024;08906;++;++
0810105025;08906;++;++
0810105026;08906;++;++
0810105028;08906;++;++
0810105029;08906;++;++
0810105030;08906;++;++
0810105031;08906;++;++
0810105032;08906;++;++
0810105033;08906;++;++
0810105034;08906;++;++
0810105035;08906;++;++
0810105037;08906;++;++
0810105038;08906;++;++
0810106001;08907;+;++
0810106002;08907;+;++
0810106005;08907;+;++
0810106006;08907;+;++
0810106007;08907;+;++
0810106008;08907;+;++
0810106009;08907;+;++
0810106010;08907;+;++
0810106011;08907;+;++
0810106012;08907;+;++
0810106013;08907;+;++
0810106014;08907;+;++
0810106015;08907;+;++
0810106016;08907;+;++
0810106017;08907;+;++
0810106018;08907;+;++
0810106019;08907;+;++
0810106021;08907;+;++
0810106022;08907;+;++
0810106023;08907;+;++
0810106024;08907;+;++
0810106025;08907;+;++
0810106026;08907;+;++
0810106027;08907;+;++
0810106030;08907;+;++
0810106031;08907;+;++
0810106032;08907;+;++
0810201001;08700;=;=
0810202001;08700;=;=
0810202002;08700;=;=
0810202003;08700;=;=
0810203001;08700;=;=
0810203002;08700;=;=
0810203003;08700;=;=
0810203004;08700;=;=
0810203005;08700;=;=
0810203006;08700;=;=
0810203007;08700;=;=
0810203008;08700;=;=
0810203009;08700;=;=
0810203010;08700;=;=
0810204001;08700;=;=
0810204002;08700;=;=
0810204003;08700;=;=
0810204004;08700;=;=
0810204005;08700;=;=
0810205001;08700;=;=
0810205002;08700;=;=
0810205003;08700;=;=
0810205004;08700;=;=
0810205005;08700;=;=
0810205006;08700;=;=
0810205007;08700;=;=
0810301001;08719;-;=
0810401001;08779;++;++
0810501001;08120;=;++
0810501002;08120;=;++
0810501003;08120;=;++
0810501004;08120;=;++
0810501005;08120;=;++
0810501006;08120;=;++
0810501007;08120;=;++
0810501008;08120;=;++
0810501009;08120;=;++
0810601001;08450;++;=
0810601002;08450;++;=
0810602001;08450;++;=
0810602002;08450;++;=
0810602003;08450;++;=
0810602004;08450;++;=
0810701001;08186;-;=
0810701002;08186;-;=
0810701003;08186;-;=
0810701004;08186;-;=
0810701005;08186;-;=
0810701006;08186;-;=
0810701007;08186;-;=
0810701008;08186;-;=
0810701009;08186;-;=
0810701010;08186;-;=
0810801001;08185;+;+
0810801002;08185;+;+
0810801003;08185;+;+
0810801004;08185;+;+
0810901001;08514;=;++
0811001001;08380;=;--
0811001002;08380;=;--
0811001003;08380;=;--
0811001004;08380;=;--
0811001005;08380;=;--
0811001006;08380;=;--
0811002001;08380;=;--
0811002002;08380;=;--
0811002003;08380;=;--
0811101001;08522;=;+
0811201001;08560;=;=
0811201002;08560;=;=
0811202001;08560;=;=
0811202002;08560;=;=
0811202003;08560;=;=
0811202004;08560;=;=
0811203001;08560;=;=
0811203002;08560;=;=
0811203003;08560;=;=
0811203004;08560;=;=
0811204001;08560;=;=
0811204002;08560;=;=
0811301001;08241;=;++
0811301002;08241;=;++
0811302001;08242;+;--
0811302002;08242;+;--
0811302003;08242;+;--
0811302004;08242;+;--
0811302005;08242;+;--
0811302006;08242;+;--
0811302007;08242;+;--
0811302008;08242;+;--
0811302009;08242;+;--
0811302010;08242;+;--
0811302011;08242;+;--
0811302012;08242;+;--
0811302013;08242;+;--
0811302014;08242;+;--
0811303001;08241;=;++
0811303002;08241;=;++
0811303004;08241;=;++
0811303005;08241;=;++
0811303006;08241;=;++
0811304001;08241;=;++
0811304003;08241;=;++
0811304004;08241;=;++
0811304005;08241;=;++
0811304006;08241;=;++
0811304007;08241;=;++
0811304008;08241;=;++
0811304009;08241;=;++
0811304011;08241;=;++
0811304012;08241;=;++
0811304013;08241;=;++
0811304014;08241;=;++
0811304015;08241;=;++
0811305001;08241;=;++
0811305002;08241;=;++
0811305003;08241;=;++
0811305004;08241;=;++
0811305005;08241;=;++
0811305006;08241;=;++
0811305007;08241;=;++
0811305008;08241;=;++
0811305010;08241;=;++
0811305011;08241;=;++
0811305012;08241;=;++
0811305013;08241;=;++
0811305014;08241;=;++
0811305015;08241;=;++
0811305017;08241;=;++
0811305018;08241;=;++
0811306001;08241;=;++
0811306002;08241;=;++
0811401001;08760;+;+
0811401002;08760;+;+
0811401003;08760;+;+
0811402003;08760;+;+
0811403002;08760;+;+
0811403004;08760;+;+
0811403005;08760;+;+
0811403006;08760;+;+
0811403007;08760;+;+
0811403008;08760;+;+
0811403010;08760;+;+
0811404001;08760;+;+
0811404002;08760;+;+
0811404003;08760;+;+
0811404004;08760;+;+
0811501001;08107;=;=
0811501002;08107;=;=
0811501003;08107;=;=
0811601001;08510;-;=
0811701001;08508;=;++
0811702001;08508;=;++
0811801001;08320;+;+
0811801002;08320;+;+
0811801003;08320;+;+
0811801004;08320;+;+
0811801005;08320;+;+
0811801006;08320;+;+
0811801007;08320;+;+
0811801008;08320;+;+
0811801009;08320;+;+
0811801010;08320;+;+
0811802001;08320;+;+
0811802002;08320;+;+
0811802003;08320;+;+
0811802004;08320;+;+
0811901001;08783;-;=
0811901002;08783;-;=
0812001001;08230;++;+
0812001002;08230;++;+
0812001003;08230;++;+
0812001004;08230;++;+
0812101001;08301;=;+
0812101002;08301;=;+
0812101003;08301;=;+
0812101004;08301;=;+
0812101005;08301;=;+
0812101006;08301;=;+
0812101007;08301;=;+
0812101009;08301;=;+
0812102001;08301;=;+
0812102002;08301;=;+
0812102003;08301;=;+
0812102004;08301;=;+
0812102005;08301;=;+
0812102007;08301;=;+
0812102008;08301;=;+
0812102009;08301;=;+
0812102010;08301;=;+
0812102011;08301;=;+
0812102012;08301;=;+
0812103001;08304;+;+
0812103002;08304;+;+
0812103003;08304;+;+
0812103004;08304;+;+
0812103005;08304;+;+
0812103006;08304;+;+
0812103007;08304;+;+
0812103008;08304;+;+
0812103009;08304;+;+
0812103010;08304;+;+
0812103011;08304;+;+
0812103012;08304;+;+
0812103013;08304;+;+
0812103014;08304;+;+
0812104001;08304;+;+
0812104002;08304;+;+
0812104003;08304;+;+
0812104004;08304;+;+
0812104005;08304;+;+
0812104006;08304;+;+
0812104007;08304;+;+
0812104008;08304;+;+
0812104009;08304;+;+
0812105001;08303;+;+
0812105002;08303;+;+
0812105003;08303;+;+
0812105004;08303;+;+
0812105005;08303;+;+
0812105006;08303;+;+
0812105007;08303;+;+
0812105008;08303;+;+
0812105009;08303;+;+
0812105010;08303;+;+
0812105011;08303;+;+
0812105012;08303;+;+
0812105013;08303;+;+
0812105015;08303;+;+
0812105016;08303;+;+
0812105017;08303;+;+
0812105019;08303;+;+
0812105020;08303;+;+
0812105021;08303;+;+
0812106001;08302;++;++
0812106002;08302;++;++
0812106003;08302;++;++
0812106004;08302;++;++
0812106005;08302;++;++
0812106006;08302;++;++
0812106007;08302;++;++
0812106008;08302;++;++
0812106009;08302;++;++
0812106010;08302;++;++
0812106011;08302;++;++
0812106012;08302;++;++
0812106013;08302;++;++
0812106014;08302;++;++
0812201001;08773;-;--
0812301001;08750;=;+
0812301002;08750;=;+
0812301003;08750;=;+
0812302001;08750;=;+
0812302002;08750;=;+
0812302003;08750;=;+
0812302004;08750;=;+
0812303001;08750;=;+
0812303002;08750;=;+
0812303003;08750;=;+
0812303004;08750;=;+
0812304001;08750;=;+
0812401001;08100;+;=
0812401002;08100;+;=
0812401003;08100;+;=
0812401004;08100;+;=
0812401005;08100;+;=
0812401006;08100;+;=
0812401007;08100;+;=
0812402001;08100;+;=
0812402002;08100;+;=
0812402003;08100;+;=
0812402004;08100;+;=
0812402005;08100;+;=
0812402006;08100;+;=
0812402007;08100;+;=
0812402008;08100;+;=
0812402009;08100;+;=
0812403001;08100;+;=
0812403002;08100;+;=
0812403003;08100;+;=
0812403004;08100;+;=
0812403005;08100;+;=
0812403006;08100;+;=
0812403007;08100;+;=
0812403008;08100;+;=
0812403009;08100;+;=
0812403010;08100;+;=
0812403011;08100;+;=
0812403012;08100;+;=
0812403013;08100;+;=
0812403014;08100;+;=
0812403015;08100;+;=
0812501001;08110;+;=
0812501002;08110;+;=
0812501004;08110;+;=
0812501005;08110;+;=
0812502001;08110;+;=
0812502002;08110;+;=
0812502003;08110;+;=
0812503001;08110;+;=
0812503002;08110;+;=
0812503003;08110;+;=
0812503004;08110;+;=
0812503005;08110;+;=
0812503006;08110;+;=
0812504001;08110;+;=
0812504002;08110;+;=
0812504003;08110;+;=
0812505001;08110;+;=
0812505002;08110;+;=
0812505003;08110;+;=
0812506001;08110;+;=
0812506002;08110;+;=
0812506003;08110;+;=
0812601001;08390;++;=
0812601002;08390;++;=
0812601003;08390;++;=
0812601004;08390;++;=
0812701001;08691;++;--
0812701002;08691;++;--
0812801001;08275;=;-
0812901001;08529;+;++
0813001001;08605;=;=
0813101001;08585;++;+
0813201001;08612;-;=
0813301001;08717;-;=
0813401001;08590;=;--
0813501001;08160;++;=
0813501002;08160;++;=
0813501003;08160;++;=
0813501004;08160;++;=
0813501005;08160;++;=
0813601001;08170;=;=
0813601002;08170;=;=
0813601003;08170;=;=
0813601004;08170;=;=
0813601005;08170;=;=
0813601006;08170;=;=
0813601007;08170;=;=
0813602001;08170;=;=
0813602002;08170;=;=
0813602003;08170;=;=
0813701001;08469;=;-
0813801001;08180;=;-
0813801002;08180;=;-
0813801003;08180;=;-
0813901001;08278;++;--
0814001001;08270;+;+
0814001002;08270;+;+
0814001003;08270;+;+
0814101001;08670;-;++
0814101002;08670;-;++
0814101003;08670;-;++
0814101004;08670;-;++
0814102001;08671;-;++
0814201001;08698;-;++
0814301001;08711;=;=
0814301002;08711;=;=
0814401001;08611;-;=
0814501001;08734;++;=
0814501002;08734;++;=
0814601001;08795;++;+
0814601002;08795;++;+
0814701001;08640;+;+
0814701002;08640;+;+
0814701003;08640;+;+
0814701004;08640;+;+
0814701005;08640;+;+
0814701006;08640;+;+
0814701007;08640;+;+
0814701008;08640;+;+
0814701009;08640;+;+
0814701010;08640;+;+
0814701011;08640;+;+
0814801001;08818;--;+
0814801002;08818;--;+
0814901001;08516;-;=
0815001001;08573;+;-
0815101001;08518;+;=
0815201001;08787;=;+
0815301001;08317;++;+
0815401001;08796;++;+
0815501001;08389;=;=
0815501002;08389;=;=
0815501003;08389;=;=
0815501004;08389;=;=
0815501005;08389;=;=
0815601001;08184;=;=
0815601002;08184;=;=
0815601003;08184;=;=
0815601004;08184;=;=
0815601005;08184;=;=
0815601006;08184;=;=
0815601007;08184;=;=
0815601008;08184;=;=
0815701001;08780;=;++
0815701002;08780;=;++
0815701003;08780;=;++
0815701004;08780;=;++
0815701005;08780;=;++
0815801001;08754;++;+
0815801002;08754;++;+
0815901001;08150;=;=
0815901002;08150;=;=
0815901003;08150;=;=
0815901004;08150;=;=
0815902001;08150;=;=
0815902002;08150;=;=
0815902003;08150;=;=
0815902004;08150;=;=
0815902005;08150;=;=
0815902006;08150;=;=
0815902007;08150;=;=
0816001001;08589;++;++
0816101001;08784;++;=
0816101002;08784;++;=
0816101003;08784;++;=
0816101004;08784;++;=
0816101005;08784;++;=
0816101006;08784;++;=
0816101007;08784;++;=
0816101008;08784;++;=
0816101009;08784;++;=
0816201001;08781;=;++
0816301001;08397;=;=
0816301002;08397;=;=
0816301003;08397;=;=
0816301004;08397;=;=
0816301005;08397;=;=
0816301006;08397;=;=
0816301007;08397;=;=
0816301008;08397;=;=
0816301009;08397;=;=
0816301010;08397;=;=
0816301011;08397;=;=
0816301012;08397;=;=
0816301013;08397;=;=
0816301014;08397;=;=
0816401001;08733;=;=
0816501001;08787;=;+
0816601001;08696;-;+
0816601002;08696;-;+
0816701001;08213;=;+
0816701002;08213;=;+
0816701003;08213;=;+
0816701004;08213;=;+
0816801001;08738;--;++
0816901001;08820;+;+
0816901002;08820;+;+
0816901003;08820;+;+
0816901004;08820;+;+
0816901005;08820;+;+
0816902001;08820;+;+
0816902002;08820;+;+
0816902003;08820;+;+
0816902004;08820;+;+
0816902005;08820;+;+
0816902006;08820;+;+
0816902007;08820;+;+
0816903001;08820;+;+
0816903002;08820;+;+
0816903003;08820;+;+
0816903004;08820;+;+
0816903005;08820;+;+
0816903006;08820;+;+
0816903007;08820;+;+
0816903008;08820;+;+
0816903009;08820;+;+
0816903010;08820;+;+
0816903011;08820;+;+
0816903012;08820;+;+
0816903013;08820;+;+
0816904001;08820;+;+
0816904002;08820;+;+
0816904003;08820;+;+
0816904004;08820;+;+
0816904005;08820;+;+
0816904006;08820;+;+
0816905001;08820;+;+
0816905002;08820;+;+
0816905003;08820;+;+
0816905004;08820;+;+
0816905005;08820;+;+
0816905006;08820;+;+
0816905007;08820;+;+
0816905008;08820;+;+
0816905009;08820;+;+
0817001001;08281;++;=
0817101001;08513;=;++
0817101002;08513;=;++
0817201001;08330;+;++
0817201002;08330;+;++
0817201003;08330;+;++
0817202001;08330;+;++
0817202002;08330;+;++
0817202003;08330;+;++
0817202004;08330;+;++
0817203001;08330;+;++
0817203002;08330;+;++
0817203003;08330;+;++
0817203004;08330;+;++
0817203005;08330;+;++
0817203006;08330;+;++
0817203007;08330;+;++
0817203008;08330;+;++
0817203009;08330;+;++
0817401001;08797;++;-
0817501001;08692;+;-
0817501002;08692;+;-
0817502001;08692;+;-
0817601001;08282;++;++
0817701001;08606;-;=
0817801001;08256;++;--
0817901001;08299;++;+
0818001001;08291;+;=
0818001002;08291;+;=
0818001003;08291;+;=
0818001004;08291;+;=
0818001005;08291;+;=
0818001006;08291;+;=
0818001007;08291;+;=
0818001008;08291;+;=
0818001009;08291;+;=
0818001010;08291;+;=
0818001011;08291;+;=
0818001012;08291;+;=
0818001013;08291;+;=
0818002001;08291;+;=
0818002002;08291;+;=
0818002003;08291;+;=
0818002004;08291;+;=
0818002005;08291;+;=
0818002006;08291;+;=
0818002007;08291;+;=
0818101001;08430;=;=
0818101002;08430;=;=
0818101003;08430;=;=
0818101004;08430;=;=
0818101005;08430;=;=
0818201001;08254;+;=
0818301001;08510;-;=
0818301002;08510;-;=
0818301003;08510;-;=
0818302001;08510;-;=
0818401001;08191;+;=
0818401002;08191;+;=
0818401003;08191;+;=
0818401004;08191;+;=
0818402001;08191;+;=
0818402003;08191;+;=
0818402004;08191;+;=
0818402005;08191;+;=
0818402006;08191;+;=
0818403001;08191;+;=
0818403003;08191;+;=
0818403004;08191;+;=
0818403005;08191;+;=
0818403006;08191;+;=
0818403007;08191;+;=
0818403008;08191;+;=
0818403009;08191;+;=
0818404001;08191;+;=
0818404002;08191;+;=
0818404003;08191;+;=
0818404004;08191;+;=
0818404005;08191;+;=
0818404006;08191;+;=
0818404007;08191;+;=
0818404008;08191;+;=
0818404009;08191;+;=
0818404010;08191;+;=
0818404011;08191;+;=
0818404012;08191;+;=
0818404013;08191;+;=
0818404014;08191;+;=
0818404015;08191;+;=
0818404016;08191;+;=
0818404018;08191;+;=
0818404019;08191;+;=
0818404020;08191;+;=
0818404021;08191;+;=
0818404022;08191;+;=
0818404023;08191;+;=
0818404024;08191;+;=
0818404025;08191;+;=
0818404026;08191;+;=
0818501001;08719;-;=
0818701001;08201;++;+
0818701002;08201;++;+
0818701003;08201;++;+
0818701004;08201;++;+
0818701005;08201;++;+
0818701006;08201;++;+
0818701007;08201;++;+
0818701008;08201;++;+
0818701009;08201;++;+
0818701010;08201;++;+
0818701011;08201;++;+
0818701012;08201;++;+
0818701013;08201;++;+
0818701014;08201;++;+
0818701015;08201;++;+
0818701016;08201;++;+
0818701017;08201;++;+
0818701018;08201;++;+
0818701019;08201;++;+
0818701020;08201;++;+
0818701021;08201;++;+
0818701022;08201;++;+
0818701023;08201;++;+
0818701024;08201;++;+
0818701025;08201;++;+
0818701026;08201;++;+
0818701027;08201;++;+
0818701028;08201;++;+
0818701029;08201;++;+
0818701030;08201;++;+
0818701031;08201;++;+
0818701032;08201;++;+
0818701033;08201;++;+
0818701034;08201;++;+
0818701035;08201;++;+
0818702001;08208;++;=
0818702002;08208;++;=
0818702003;08208;++;=
0818702004;08208;++;=
0818702005;08208;++;=
0818702006;08208;++;=
0818702007;08208;++;=
0818702008;08208;++;=
0818702009;08208;++;=
0818702010;08208;++;=
0818702011;08208;++;=
0818702012;08208;++;=
0818702013;08208;++;=
0818702014;08208;++;=
0818702015;08208;++;=
0818702016;08208;++;=
0818702017;08208;++;=
0818703001;08207;+;-
0818703002;08207;+;-
0818703003;08207;+;-
0818703004;08207;+;-
0818703005;08207;+;-
0818703006;08207;+;-
0818703007;08207;+;-
0818703008;08207;+;-
0818703009;08207;+;-
0818703010;08207;+;-
0818703011;08207;+;-
0818703012;08207;+;-
0818703013;08207;+;-
0818703014;08207;+;-
0818703015;08207;+;-
0818703016;08207;+;-
0818703017;08207;+;-
0818703018;08207;+;-
0818703019;08207;+;-
0818703020;08207;+;-
0818703021;08207;+;-
0818703022;08207;+;-
0818703023;08207;+;-
0818703024;08207;+;-
0818703025;08207;+;-
0818703026;08207;+;-
0818703027;08207;+;-
0818704001;08206;+;-
0818704002;08206;+;-
0818704003;08206;+;-
0818704004;08206;+;-
0818704005;08206;+;-
0818704006;08206;+;-
0818704007;08206;+;-
0818704008;08206;+;-
0818704009;08206;+;-
0818704010;08206;+;-
0818704011;08206;+;-
0818704012;08206;+;-
0818704013;08206;+;-
0818704014;08206;+;-
0818704015;08206;+;-
0818704016;08206;+;-
0818704017;08206;+;-
0818704018;08206;+;-
0818704019;08206;+;-
0818704020;08206;+;-
0818704021;08206;+;-
0818704022;08206;+;-
0818704023;08206;+;-
0818704024;08206;+;-
0818704025;08206;+;-
0818704026;08206;+;-
0818704027;08206;+;-
0818704028;08206;+;-
0818704029;08206;+;-
0818705001;08203;+;-
0818705002;08203;+;-
0818705003;08203;+;-
0818705004;08203;+;-
0818705005;08203;+;-
0818705006;08203;+;-
0818705007;08203;+;-
0818705008;08203;+;-
0818705009;08203;+;-
0818705011;08203;+;-
0818705012;08203;+;-
0818705013;08203;+;-
0818705014;08203;+;-
0818705015;08203;+;-
0818706001;08204;+;=
0818706002;08204;+;=
0818706003;08204;+;=
0818706004;08204;+;=
0818706005;08204;+;=
0818706006;08204;+;=
0818706007;08204;+;=
0818706008;08204;+;=
0818706009;08204;+;=
0818706010;08204;+;=
0818706011;08204;+;=
0818706012;08204;+;=
0818706013;08204;+;=
0818706014;08204;+;=
0818706016;08204;+;=
0818706017;08204;+;=
