CUSEC;COD_POSTAL;yieldPisos;yieldCasas
0200301002;02001;=;=
0200301003;02001;=;=
0200301004;02001;=;=
0200301005;02001;=;=
0200301006;02001;=;=
0200301007;02001;=;=
0200301008;02001;=;=
0200301009;02001;=;=
0200301010;02001;=;=
0200301011;02001;=;=
0200301012;02001;=;=
0200301013;02001;=;=
0200301014;02001;=;=
0200301015;02001;=;=
0200301016;02001;=;=
0200301017;02001;=;=
0200302001;02005;-;=
0200302002;02005;-;=
0200302003;02005;-;=
0200302004;02005;-;=
0200302005;02005;-;=
0200302006;02005;-;=
0200302007;02005;-;=
0200302008;02005;-;=
0200302009;02005;-;=
0200302010;02005;-;=
0200302011;02005;-;=
0200302012;02005;-;=
0200302013;02005;-;=
0200302014;02005;-;=
0200302015;02005;-;=
0200302016;02005;-;=
0200302017;02005;-;=
0200302018;02005;-;=
0200302019;02005;-;=
0200302020;02005;-;=
0200302021;02005;-;=
0200302022;02005;-;=
0200302023;02005;-;=
0200302024;02005;-;=
0200303001;02004;-;+
0200303002;02004;-;+
0200303003;02004;-;+
0200303004;02004;-;+
0200303005;02004;-;+
0200303006;02004;-;+
0200303007;02004;-;+
0200303008;02004;-;+
0200303009;02004;-;+
0200303010;02004;-;+
0200303011;02004;-;+
0200303012;02004;-;+
0200303013;02004;-;+
0200303014;02004;-;+
0200304001;02004;-;+
0200304002;02004;-;+
0200304003;02004;-;+
0200304004;02004;-;+
0200304005;02004;-;+
0200304006;02004;-;+
0200304007;02004;-;+
0200304008;02004;-;+
0200304009;02004;-;+
0200304010;02004;-;+
0200304011;02004;-;+
0200304012;02004;-;+
0200304013;02004;-;+
0200304014;02004;-;+
0200305001;02003;=;--
0200305002;02003;=;--
0200305003;02003;=;--
0200305004;02003;=;--
0200305005;02003;=;--
0200305006;02003;=;--
0200305007;02003;=;--
0200305008;02003;=;--
0200305009;02003;=;--
0200305010;02003;=;--
0200305011;02003;=;--
0200305012;02003;=;--
0200305013;02003;=;--
0200306001;02003;=;--
0200306002;02003;=;--
0200306003;02003;=;--
0200306004;02003;=;--
0200306005;02003;=;--
0200306006;02003;=;--
0200306007;02003;=;--
0200306008;02003;=;--
0200306009;02003;=;--
0200306010;02003;=;--
0200306011;02003;=;--
0200306012;02003;=;--
0200306013;02003;=;--
0200306014;02003;=;--
0200307001;02002;=;++
0200307002;02002;=;++
0200307003;02002;=;++
0200307004;02002;=;++
0200307005;02002;=;++
0200307006;02002;=;++
0200307007;02002;=;++
0200307008;02002;=;++
0200307009;02002;=;++
0200307010;02002;=;++
0200307011;02002;=;++
0200307013;02002;=;++
0200307014;02002;=;++
0200307015;02002;=;++
0200307016;02002;=;++
0200307017;02002;=;++
0200308001;02006;-;=
0200308002;02006;-;=
0200308003;02006;-;=
0200308006;02006;-;=
0200401001;02653;++;-
0200501001;02215;++;++
0200601001;02124;=;--
0200701001;02211;++;++
0200801001;02311;=;++
0200801002;02311;=;++
0200901001;02640;=;++
0200901002;02640;=;++
0200902001;02640;=;++
0200902002;02640;=;++
0200902003;02640;=;++
0200903001;02640;=;++
0200903002;02640;=;++
0200903003;02640;=;++
0200903004;02640;=;++
0200903005;02640;=;++
0200903006;02640;=;++
0200903007;02640;=;++
0200903008;02640;=;++
0200903009;02640;=;++
0200904001;02640;=;++
0200904002;02640;=;++
0200904003;02640;=;++
0200904004;02640;=;++
0201001001;02690;++;++
0201002001;02690;++;++
0201101001;02139;--;-
0201201001;02320;=;++
0201201002;02320;=;++
0201301001;02214;++;++
0201401001;02614;--;++
0201501001;02639;++;--
0201601001;02360;+;=
0201701001;02130;--;-
0201801001;02691;++;++
0201901001;02610;=;--
0201901002;02610;=;--
0201901003;02610;=;--
0202001001;02153;++;--
0202101001;02151;++;=
0202201001;02329;+;=
0202301001;02212;++;++
0202401001;02200;=;++
0202401002;02200;=;++
0202402001;02200;=;++
0202501001;02660;++;=
0202501002;02660;++;=
0202501003;02660;++;=
0202501004;02660;++;=
0202501005;02660;++;=
0202501006;02660;++;=
0202501007;02660;++;=
0202601001;02247;++;=
0202701001;02693;++;--
0202801001;02461;++;++
0202901001;02510;--;--
0202902001;02691;++;++
0203001001;02430;+;++
0203002001;02430;+;++
0203101001;02436;+;++
0203201001;02637;++;++
0203301001;02651;++;+
0203301002;02651;++;+
0203401001;02260;=;++
0203501001;02110;=;--
0203501002;02110;=;--
0203601001;02253;++;=
0203701001;02400;+;--
0203701002;02400;+;--
0203701003;02400;+;--
0203701004;02400;+;--
0203702001;02400;+;--
0203702002;02400;+;--
0203702003;02400;+;--
0203702004;02400;+;--
0203703001;02400;+;--
0203703002;02400;+;--
0203703003;02400;+;--
0203703004;02400;+;--
0203703005;02400;+;--
0203703006;02400;+;--
0203703007;02400;+;--
0203704001;02142;++;--
0203704002;02142;++;--
0203705001;02420;++;--
0203705003;02420;++;--
0203706001;02499;++;=
0203801001;02162;++;--
0203901001;02694;++;--
0204001001;02696;--;++
0204101001;02249;++;=
0204201001;02434;+;++
0204301001;02160;++;--
0204401001;02410;--;--
0204402001;02410;--;--
0204501001;02230;=;-
0204501002;02230;=;-
0204502001;02230;=;-
0204502002;02230;=;-
0204601001;02240;++;=
0204701001;02314;=;++
0204801001;02620;--;++
0204901001;02448;++;++
0205001001;02638;++;++
0205101001;02650;++;+
0205102001;02650;++;+
0205201001;02220;++;=
0205301001;02612;--;++
0205302001;02612;--;++
0205303001;02612;--;++
0205401001;02246;++;=
0205501001;02536;++;--
0205601001;02652;=;++
0205602001;02652;=;++
0205701001;02611;=;--
0205701002;02611;=;--
0205801001;02136;--;-
0205901001;02314;=;++
0206001001;02127;--;-
0206101001;02692;++;++
0206201001;02311;=;++
0206301001;02141;++;--
0206401001;02154;++;--
0206501001;02327;+;=
0206601001;02249;++;=
0206701001;02459;++;++
0206801001;02340;+;=
0206901001;02630;=;=
0206901002;02630;=;=
0206901003;02630;=;=
0206901004;02630;=;=
0206902001;02630;=;=
0206902002;02630;=;=
0206902003;02630;=;=
0206902004;02630;=;=
0206903001;02630;=;=
0206903002;02630;=;=
0207001001;02316;=;++
0207101001;02326;++;-
0207201001;02435;+;++
0207202001;02437;+;++
0207301001;02100;++;=
0207301002;02100;++;=
0207301003;02100;++;=
0207302001;02100;++;=
0207302002;02100;++;=
