SeccionCensal;longitud;latitud
0105904016;-2.659297;42.845162
0105904017;-2.659816;42.842686
0105904018;-2.657237;42.842458
0105904019;-2.657589;42.844272
0105904020;-2.656511;42.845365
0105904021;-2.666129;42.837863
0105904022;-2.664844;42.836075
0105904023;-2.662414;42.836047
0105904024;-2.663748;42.828692
0105904025;-2.655611;42.833332
0105904026;-2.665711;42.839845
0105904027;-2.667763;42.837859
0105904028;-2.667915;42.835496
0105904029;-2.671051;42.835865
0105904031;-2.670336;42.838665
0105904032;-2.677267302;42.85106037
0105905001;-2.712708;42.856788
0105905002;-2.695468;42.853999
0105905003;-2.699773;42.854398
0105905004;-2.701437;42.855106
0105905005;-2.704323;42.855292
0105905006;-2.701188;42.856488
0105905007;-2.705376;42.860838
0105905008;-2.700358;42.861001
0105905009;-2.69938;42.862163
0105905010;-2.695297;42.861641
0105905011;-2.69546;42.858213
0105905012;-2.693399;42.859051
0105905013;-2.694276;42.856243
0105905014;-2.686396;42.859104
0105905015;-2.679207;42.86178
0105905016;-2.682317;42.863498
0105905017;-2.678527;42.864702
0105905018;-2.679052;42.86583
0105905019;-2.683321;42.86498
0105905020;-2.679258;42.866597
0105905021;-2.684252;42.866393
0105905022;-2.668853;42.867716
0105905023;-2.679359;42.873475
0105905025;-2.677048;42.87697
0105905026;-2.682941;42.864417
0105905027;-2.69099;42.864301
0105905028;-2.68893;42.863304
0105905029;-2.691101;42.869125
0105905030;-2.693924;42.866033
0105905031;-2.688051;42.861168
0105905032;-2.701565;42.866907
0105905033;-2.697806;42.864513
0105905034;-2.685548;42.870527
0105905035;-2.696102;42.869068
0105905036;-2.677267302;42.85106037
0105905037;-2.677267302;42.85106037
0105905038;-2.677267302;42.85106037
0105906001;-2.609825;42.828925
0105906002;-2.719913;42.816241
0105906003;-2.74428;42.889327
0106001001;-2.468844;42.555093
0106101001;-2.342353;42.901499
0106201001;-2.823928;42.657127
0106301001;-2.835746;42.98428
0190101001;-2.810059;42.80754
0190101002;-2.823729;42.83607
0190201001;-3.014213;42.755568
0200101001;-1.539006;39.214544
0200201001;-1.370423;39.079709
0200301001;-1.853622;38.996357
0200301002;-1.855823;38.998234
0200301003;-1.856265;38.996855
0200301004;-1.855458;38.994626
0200301005;-1.851838;38.993221
0200301006;-1.848833;38.993273
0200301007;-1.848995;38.997564
0200301008;-1.851234;38.994675
0200301009;-1.85241;38.995396
0200301010;-1.843325;39.006525
0200301011;-1.845436;38.994909
0200301012;-1.849132;38.99568
0200301013;-1.852164;38.99924
0200301014;-1.856709;39.000726
0200301015;-1.855998;38.999261
0200301016;-1.850549;38.998773
0200301017;-1.854131;39.001566
0200302001;-1.859379;38.996967
0200302002;-1.862308;38.99727
0200302003;-1.860348;38.999686
0200302004;-1.86253;39.001179
0200302005;-1.867675;38.998727
0200302006;-1.866036;39.002
0200302007;-1.86958;38.999539
0200302008;-1.868149;39.002275
0200302009;-1.883923;39.003433
0200302010;-1.863255;38.998657
0200302011;-1.864602;38.999595
0200302012;-1.860686;39.003651
0200302013;-1.859313;38.998764
0200302014;-1.863689;39.003343
0200302015;-1.866697;39.000253
0200302016;-1.859571;39.000882
0200302017;-1.86425;39.001397
0200302018;-1.859249;39.002403
0200302019;-1.872498;39.000527
0200302020;-1.871442;39.001386
0200302021;-1.87423;38.999417
0200302022;-1.867496;39.008242
0200302023;-1.86258831;38.98986394
0200302024;-1.86258831;38.98986394
0200303001;-1.858402;38.995052
0200303002;-1.862262;38.995046
0200303003;-1.865473;38.996175
0200303004;-1.865056;38.994423
0200303005;-1.869024;38.99527
0200303006;-1.870881;38.996831
0200303007;-1.873696;38.994939
0200303008;-1.876533;38.995124
0200303009;-1.868953;38.993924
0200303010;-1.860884;38.99529
0200303011;-1.858551;38.99415
0200303012;-1.874928;38.997081
0200303013;-1.874553;38.99346
0200303014;-1.884259;38.992836
0200304001;-1.862604;38.992597
0200304002;-1.865514;38.992278
0200304003;-1.868271;38.992177
0200304004;-1.86496;38.990387
0200304005;-1.871878;38.992865
0200304006;-1.870478;38.990801
0200304007;-1.870154;38.987476
0200304008;-1.866466;38.988908
0200304009;-1.867247;38.990265
0200304010;-1.863323;38.993434
0200304011;-1.886328;38.980743
0200304012;-1.873825;38.983557
